src.name	tgt.name	common.num	src.num	tgt.num	total.num	exposure	phi	ttest	pval
eng	que	5	439691	23	763665	0.217391304347826	-0.00397949754643	-2.6387878787661	0.00416029780538761
ces	slk	99	4559	1183	763665	0.0836855452240068	0.039737719232896	2.68463727869054	0.00364356118150498
chv	epo	1	24	795	763665	0.00125786163522013	0.007062447144788	0.198885277406021	0.421201668925772
ara	hbs	2	4642	3594	763665	0.000556483027267668	-0.004885274355273	-0.332776869032336	0.369658873591556
ita	kau	1	25109	1	763665	1	0.006206201158425	0.983403214002458	0.162709252287565
eng	lmo	13	439691	60	763665	0.216666666666667	-0.006440620884663	-4.2708030491609	9.74055839229392e-06
deu	fin	221	73753	6182	763665	0.0357489485603365	-0.018603860000524	-5.05314997162631	2.17808979794087e-07
fra	spa	843	43980	38925	763665	0.0216570327552986	-0.03574610731968	-7.5010858691928	3.22402617622164e-14
lim	lit	1	49	1153	763665	0.000867302688638335	0.003898962475149	0.132278730513483	0.447393454825007
aze	fas	13	423	3945	763665	0.00329531051964512	0.008395974981652	0.527229657600836	0.299031881188241
ita	som	1	25109	29	763665	0.0344827586206897	5.5402411073e-05	0.00877861650600045	0.49649791856438
chr	eng	2	13	439691	763665	4.54864893754932e-06	-0.003522297979518	-2.33561678722337	0.00975583502327089
ell	sqi	5	2065	597	763665	0.00837520938023451	0.003054608948117	0.138741779276826	0.444833865248434
jpn	lav	3	36816	542	763665	0.00553505535055351	-0.005309259656206	-1.01870066735879	0.154175894895413
oci	rus	2	77	29566	763665	6.76452682134885e-05	-0.00066325326785	-0.114041019397852	0.454603025551551
ben	cat	1	365	3638	763665	0.000274876305662452	-0.000642831291957	-0.0387622551860981	0.484541032526833
deu	rup	1	73753	20	763665	0.05	-0.000806981093012	-0.219153018974301	0.413265728859823
hin	slv	1	474	2039	763665	0.000490436488474743	-0.000270599902093	-0.0122130227342349	0.495128427375808
glg	jpn	3	538	36816	763665	8.14863102998696e-05	-0.005284517153664	-1.01395312984226	0.155305890573223
bar	spa	1	119	38925	763665	2.56904303147078e-05	-0.00241621728576	-0.476694792700168	0.316791073695806
ita	lij	13	25109	18	763665	0.722222222222222	0.01876815243656	2.97437303782021	0.00146933515641573
